name
Área de Troquelado
Área de Corte
Área de Laminación
Área de Impresión
Área de Almacén de Químicos
Área de Pre prensa
Área de Almacén
Área de Hot Room
Área de Mantenimiento
Área de Laboratorio de Calidad
Área de Site
Área de Oficinas
Área de Comedor
Área de Recepción
Área de Baños Hombres
Área de Baños Mujeres
Área de Baños Hombres Oficinas
Área de Baños Mujeres Oficinas
Área de Estacionamiento
Área de Caseta de Vigilancia
Área de Gas LP
Área de HVAC'S
Área de Sistema Electrico
Área de Sistema de Agua
Área de Andenes
Área de Cuarto de Compresores
Área de Patio de Maniobras
Área de Residuos Peligrosos
Área de Residuos Generales
Área de Azotea
Área de Nitrogeno
