area_name,equipment_name,Componente,subcomponente,Nivel2,Nivel3,Nivel4,model,serial_number,category_name,status,,,,,
Área de Troquelado,WDC-03,,,,,,,,Maquinaria,ACTIVE,,,,,
Área de Troquelado,WDC-03,Control de tensión,,,,,CYGNUS,21221001,Control de tension,ACTIVE,,,,,
Área de Troquelado,WDC-03,Control de tensión,Tarjeta Eléctronica,,,,PS-90,,Tarjeta,ACTIVE,,,,,
Área de Troquelado,WDC-03,Control de tensión,Freno de particulas magneticas,,,,GBDM90,,Freno magnetico,ACTIVE,,,,,
Área de Troquelado,WDC-03,Control de tensión,Rodamiento ,,,,YR-2-X,,Refacción,ACTIVE,,,,,
Área de Troquelado,WDC-03,Control de tensión,Celda de carga(Sensor de tension),,,,TS150SC,111811020,Sensor,ACTIVE,,,,,
Área de Troquelado,WDC-03,Sensor de marca de registro,,,,,R58,,Sensor,ACTIVE,,,,,
Área de Troquelado,WDC-03,Sensor de frecuencia.,,,,,LR-T5000C,,Sensor,ACTIVE,,,,,
Área de Troquelado,WDC-03,Servomotor,,,,,MHD041B-144-NP0-UN,MHD041-20890,Servomotor,ACTIVE,,,,,
Área de Troquelado,WDC-03,Rodillos naranjas,,,,,,,Rodillos,ACTIVE,,,,,
Área de Troquelado,WDC-03,Pistones de rodillos naranja.,,,,,NCQ2,,Piston,ACTIVE,,,,,
Área de Troquelado,WDC-03,Motor de embosser,,,,,C80T17FZ4C,19205800,Motor,ACTIVE,,,,,
Área de Troquelado,WDC-03,Rodillos  Negros ,,,,,,,Rodillos,ACTIVE,,,,,
Área de Troquelado,WDC-03,Motor de la leva,,,,,JVE184THTL7726FGL,,Motor,ACTIVE,,,,,
Área de Troquelado,WDC-03,Regulador de presion de rodillos negros,,,,,R 1/2SMC,,Regulador de presión,ACTIVE,,,,,
Área de Troquelado,WDC-03,Regulador de precision de embosser,,,,,R1000-A~3000-A,SMC IR2020-N02BG-Z-A,Regulador de presión,ACTIVE,,,,,
Área de Troquelado,WDC-03,Regulador de presion de rodillos naranja,,,,,R 1/2SMC,,Regulador de presión,ACTIVE,,,,,
Área de Troquelado,WDC-03,Reductor de engranes ,,,,,NR-414255,,Reductor,ACTIVE,,,,,
Área de Troquelado,WDC-03,Gabinete Eléctrico,,,,,,,Gabinete,ACTIVE,,,,,
Área de Troquelado,WDC-03,Gabinete Eléctrico,Mini Fuente de Poder,,,,Mini-Ps-100-240AC/24DC/2,,Componente eléctrico,ACTIVE,,,,,
Área de Troquelado,WDC-03,Gabinete Eléctrico,Transformador,,,,PH750MQMJ,,Componente eléctrico,ACTIVE,,,,,
Área de Troquelado,WDC-03,Gabinete Eléctrico,Fusibles,,,,JDL3(3A),,Componente eléctrico,ACTIVE,,,,,
Área de Troquelado,WDC-03,Gabinete Eléctrico,Contactores,,,,SC-E04/G,,Componente eléctrico,ACTIVE,,,,,
Área de Troquelado,WDC-03,Gabinete Eléctrico,Contactores,,,,LC1-D18,802546,Componente eléctrico,ACTIVE,,,,,
