name
Maquinaria
Vehículo
Herramienta
Área
Herramentales
Refacciones
Impresora
Impresora de placas
Dobladora de placas
Carretillas Eléctricas
Patines Hidráulicos
Laminadora
Cortadora de rollos
Doctor Machine
Montacargas
Troqueladora
Banda de scrap
Cortina Rapida
Polipastos
Sistema de Vacio
Soplador
Controlador de Cortina Rapida
